workload_file,model,origin,n_qubits,best_method,best_cost,win_margin,methods_tested
ae_indep_qiskit_10.qasm,Circuit,MQTBench,10,greedy_hdh,40,0,1
ae_indep_qiskit_100.qasm,Circuit,MQTBench,100,greedy_hdh,3400,0,1
ae_indep_qiskit_101.qasm,Circuit,MQTBench,101,greedy_hdh,3467,0,1
ae_indep_qiskit_102.qasm,Circuit,MQTBench,102,greedy_hdh,3536,0,1
ae_indep_qiskit_103.qasm,Circuit,MQTBench,103,greedy_hdh,3603,0,1
ae_indep_qiskit_104.qasm,Circuit,MQTBench,104,greedy_hdh,3674,0,1
ae_indep_qiskit_105.qasm,Circuit,MQTBench,105,greedy_hdh,3745,0,1
ae_indep_qiskit_106.qasm,Circuit,MQTBench,106,greedy_hdh,3814,0,1
ae_indep_qiskit_107.qasm,Circuit,MQTBench,107,greedy_hdh,3887,0,1
ae_indep_qiskit_108.qasm,Circuit,MQTBench,108,greedy_hdh,3960,0,1
ae_indep_qiskit_109.qasm,Circuit,MQTBench,109,greedy_hdh,4031,0,1
ae_indep_qiskit_11.qasm,Circuit,MQTBench,11,greedy_hdh,47,0,1
ae_indep_qiskit_110.qasm,Circuit,MQTBench,110,greedy_hdh,4106,0,1
ae_indep_qiskit_111.qasm,Circuit,MQTBench,111,greedy_hdh,4181,0,1
ae_indep_qiskit_112.qasm,Circuit,MQTBench,112,greedy_hdh,4254,0,1
ae_indep_qiskit_113.qasm,Circuit,MQTBench,113,greedy_hdh,4331,0,1
ae_indep_qiskit_114.qasm,Circuit,MQTBench,114,greedy_hdh,4408,0,1
ae_indep_qiskit_115.qasm,Circuit,MQTBench,115,greedy_hdh,4483,0,1
ae_indep_qiskit_116.qasm,Circuit,MQTBench,116,greedy_hdh,4562,0,1
ae_indep_qiskit_117.qasm,Circuit,MQTBench,117,greedy_hdh,4641,0,1
ae_indep_qiskit_118.qasm,Circuit,MQTBench,118,greedy_hdh,4718,0,1
ae_indep_qiskit_119.qasm,Circuit,MQTBench,119,greedy_hdh,4799,0,1
ae_indep_qiskit_12.qasm,Circuit,MQTBench,12,greedy_hdh,56,0,1
ae_indep_qiskit_120.qasm,Circuit,MQTBench,120,greedy_hdh,4880,0,1
ae_indep_qiskit_121.qasm,Circuit,MQTBench,121,greedy_hdh,4959,0,1
ae_indep_qiskit_122.qasm,Circuit,MQTBench,122,greedy_hdh,5042,0,1
ae_indep_qiskit_123.qasm,Circuit,MQTBench,123,greedy_hdh,5125,0,1
ae_indep_qiskit_124.qasm,Circuit,MQTBench,124,greedy_hdh,5206,0,1
ae_indep_qiskit_125.qasm,Circuit,MQTBench,125,greedy_hdh,5291,0,1
ae_indep_qiskit_126.qasm,Circuit,MQTBench,126,greedy_hdh,5376,0,1
ae_indep_qiskit_127.qasm,Circuit,MQTBench,127,greedy_hdh,5459,0,1
ae_indep_qiskit_128.qasm,Circuit,MQTBench,128,greedy_hdh,5546,0,1
ae_indep_qiskit_129.qasm,Circuit,MQTBench,129,greedy_hdh,5633,0,1
ae_indep_qiskit_13.qasm,Circuit,MQTBench,13,greedy_hdh,63,0,1
ae_indep_qiskit_130.qasm,Circuit,MQTBench,130,greedy_hdh,5718,0,1
ae_indep_qiskit_14.qasm,Circuit,MQTBench,14,greedy_hdh,74,0,1
ae_indep_qiskit_15.qasm,Circuit,MQTBench,15,greedy_hdh,85,0,1
ae_indep_qiskit_16.qasm,Circuit,MQTBench,16,greedy_hdh,94,0,1
ae_indep_qiskit_17.qasm,Circuit,MQTBench,17,greedy_hdh,107,0,1
ae_indep_qiskit_18.qasm,Circuit,MQTBench,18,greedy_hdh,120,0,1
ae_indep_qiskit_19.qasm,Circuit,MQTBench,19,greedy_hdh,131,0,1
ae_indep_qiskit_2.qasm,Circuit,MQTBench,2,greedy_hdh,2,0,1
ae_indep_qiskit_20.qasm,Circuit,MQTBench,20,greedy_hdh,147,0,1
ae_indep_qiskit_21.qasm,Circuit,MQTBench,21,greedy_hdh,161,0,1
ae_indep_qiskit_22.qasm,Circuit,MQTBench,22,greedy_hdh,174,0,1
ae_indep_qiskit_23.qasm,Circuit,MQTBench,23,greedy_hdh,192,0,1
ae_indep_qiskit_24.qasm,Circuit,MQTBench,24,greedy_hdh,208,0,1
ae_indep_qiskit_25.qasm,Circuit,MQTBench,25,greedy_hdh,225,0,1
ae_indep_qiskit_26.qasm,Circuit,MQTBench,26,greedy_hdh,242,0,1
ae_indep_qiskit_27.qasm,Circuit,MQTBench,27,greedy_hdh,261,0,1
ae_indep_qiskit_28.qasm,Circuit,MQTBench,28,greedy_hdh,278,0,1
ae_indep_qiskit_29.qasm,Circuit,MQTBench,29,greedy_hdh,300,0,1
ae_indep_qiskit_3.qasm,Circuit,MQTBench,3,greedy_hdh,5,0,1
ae_indep_qiskit_30.qasm,Circuit,MQTBench,30,greedy_hdh,320,0,1
ae_indep_qiskit_31.qasm,Circuit,MQTBench,31,greedy_hdh,339,0,1
ae_indep_qiskit_32.qasm,Circuit,MQTBench,32,greedy_hdh,363,0,1
ae_indep_qiskit_33.qasm,Circuit,MQTBench,33,greedy_hdh,385,0,1
ae_indep_qiskit_34.qasm,Circuit,MQTBench,34,greedy_hdh,408,0,1
ae_indep_qiskit_35.qasm,Circuit,MQTBench,35,greedy_hdh,431,0,1
ae_indep_qiskit_36.qasm,Circuit,MQTBench,36,greedy_hdh,456,0,1
ae_indep_qiskit_37.qasm,Circuit,MQTBench,37,greedy_hdh,479,0,1
ae_indep_qiskit_38.qasm,Circuit,MQTBench,38,greedy_hdh,507,0,1
ae_indep_qiskit_39.qasm,Circuit,MQTBench,39,greedy_hdh,533,0,1
ae_indep_qiskit_4.qasm,Circuit,MQTBench,4,greedy_hdh,6,0,1
ae_indep_qiskit_40.qasm,Circuit,MQTBench,40,greedy_hdh,558,0,1
ae_indep_qiskit_41.qasm,Circuit,MQTBench,41,greedy_hdh,587,0,1
ae_indep_qiskit_42.qasm,Circuit,MQTBench,42,greedy_hdh,616,0,1
ae_indep_qiskit_43.qasm,Circuit,MQTBench,43,greedy_hdh,645,0,1
ae_indep_qiskit_44.qasm,Circuit,MQTBench,44,greedy_hdh,675,0,1
ae_indep_qiskit_45.qasm,Circuit,MQTBench,45,greedy_hdh,705,0,1
ae_indep_qiskit_46.qasm,Circuit,MQTBench,46,greedy_hdh,736,0,1
ae_indep_qiskit_47.qasm,Circuit,MQTBench,47,greedy_hdh,767,0,1
ae_indep_qiskit_48.qasm,Circuit,MQTBench,48,greedy_hdh,800,0,1
ae_indep_qiskit_49.qasm,Circuit,MQTBench,49,greedy_hdh,831,0,1
ae_indep_qiskit_5.qasm,Circuit,MQTBench,5,greedy_hdh,12,0,1
ae_indep_qiskit_50.qasm,Circuit,MQTBench,50,greedy_hdh,867,0,1
ae_indep_qiskit_51.qasm,Circuit,MQTBench,51,greedy_hdh,901,0,1
ae_indep_qiskit_52.qasm,Circuit,MQTBench,52,greedy_hdh,936,0,1
ae_indep_qiskit_53.qasm,Circuit,MQTBench,53,greedy_hdh,972,0,1
ae_indep_qiskit_54.qasm,Circuit,MQTBench,54,greedy_hdh,1008,0,1
