workload_file,model,origin,n_qubits,best_method,best_cost,win_margin,methods_tested
ae_indep_qiskit_10.qasm,Circuit,MQTBench,10,greedy_hdh,45,0,1
ae_indep_qiskit_100.qasm,Circuit,MQTBench,100,greedy_hdh,3825,0,1
ae_indep_qiskit_101.qasm,Circuit,MQTBench,101,greedy_hdh,3897,0,1
ae_indep_qiskit_102.qasm,Circuit,MQTBench,102,greedy_hdh,3976,0,1
ae_indep_qiskit_103.qasm,Circuit,MQTBench,103,greedy_hdh,4055,0,1
ae_indep_qiskit_104.qasm,Circuit,MQTBench,104,greedy_hdh,4134,0,1
ae_indep_qiskit_105.qasm,Circuit,MQTBench,105,greedy_hdh,4209,0,1
ae_indep_qiskit_106.qasm,Circuit,MQTBench,106,greedy_hdh,4291,0,1
ae_indep_qiskit_107.qasm,Circuit,MQTBench,107,greedy_hdh,4373,0,1
ae_indep_qiskit_108.qasm,Circuit,MQTBench,108,greedy_hdh,4455,0,1
ae_indep_qiskit_109.qasm,Circuit,MQTBench,109,greedy_hdh,4533,0,1
ae_indep_qiskit_11.qasm,Circuit,MQTBench,11,greedy_hdh,53,0,1
ae_indep_qiskit_110.qasm,Circuit,MQTBench,110,greedy_hdh,4618,0,1
ae_indep_qiskit_111.qasm,Circuit,MQTBench,111,greedy_hdh,4703,0,1
ae_indep_qiskit_112.qasm,Circuit,MQTBench,112,greedy_hdh,4788,0,1
ae_indep_qiskit_113.qasm,Circuit,MQTBench,113,greedy_hdh,4869,0,1
ae_indep_qiskit_114.qasm,Circuit,MQTBench,114,greedy_hdh,4957,0,1
ae_indep_qiskit_115.qasm,Circuit,MQTBench,115,greedy_hdh,5045,0,1
ae_indep_qiskit_116.qasm,Circuit,MQTBench,116,greedy_hdh,5133,0,1
ae_indep_qiskit_117.qasm,Circuit,MQTBench,117,greedy_hdh,5217,0,1
ae_indep_qiskit_118.qasm,Circuit,MQTBench,118,greedy_hdh,5308,0,1
ae_indep_qiskit_119.qasm,Circuit,MQTBench,119,greedy_hdh,5399,0,1
ae_indep_qiskit_12.qasm,Circuit,MQTBench,12,greedy_hdh,63,0,1
ae_indep_qiskit_120.qasm,Circuit,MQTBench,120,greedy_hdh,5490,0,1
ae_indep_qiskit_121.qasm,Circuit,MQTBench,121,greedy_hdh,5577,0,1
ae_indep_qiskit_122.qasm,Circuit,MQTBench,122,greedy_hdh,5671,0,1
ae_indep_qiskit_123.qasm,Circuit,MQTBench,123,greedy_hdh,5765,0,1
ae_indep_qiskit_124.qasm,Circuit,MQTBench,124,greedy_hdh,5859,0,1
ae_indep_qiskit_125.qasm,Circuit,MQTBench,125,greedy_hdh,5949,0,1
ae_indep_qiskit_126.qasm,Circuit,MQTBench,126,greedy_hdh,6046,0,1
ae_indep_qiskit_127.qasm,Circuit,MQTBench,127,greedy_hdh,6143,0,1
ae_indep_qiskit_128.qasm,Circuit,MQTBench,128,greedy_hdh,6240,0,1
ae_indep_qiskit_129.qasm,Circuit,MQTBench,129,greedy_hdh,6333,0,1
ae_indep_qiskit_13.qasm,Circuit,MQTBench,13,greedy_hdh,69,0,1
ae_indep_qiskit_130.qasm,Circuit,MQTBench,130,greedy_hdh,6433,0,1
ae_indep_qiskit_14.qasm,Circuit,MQTBench,14,greedy_hdh,82,0,1
ae_indep_qiskit_15.qasm,Circuit,MQTBench,15,greedy_hdh,95,0,1
ae_indep_qiskit_16.qasm,Circuit,MQTBench,16,greedy_hdh,108,0,1
ae_indep_qiskit_17.qasm,Circuit,MQTBench,17,greedy_hdh,117,0,1
ae_indep_qiskit_18.qasm,Circuit,MQTBench,18,greedy_hdh,133,0,1
ae_indep_qiskit_19.qasm,Circuit,MQTBench,19,greedy_hdh,149,0,1
ae_indep_qiskit_2.qasm,Circuit,MQTBench,2,greedy_hdh,2,0,1
ae_indep_qiskit_20.qasm,Circuit,MQTBench,20,greedy_hdh,165,0,1
ae_indep_qiskit_21.qasm,Circuit,MQTBench,21,greedy_hdh,177,0,1
ae_indep_qiskit_22.qasm,Circuit,MQTBench,22,greedy_hdh,196,0,1
ae_indep_qiskit_23.qasm,Circuit,MQTBench,23,greedy_hdh,216,0,1
ae_indep_qiskit_24.qasm,Circuit,MQTBench,24,greedy_hdh,234,0,1
ae_indep_qiskit_25.qasm,Circuit,MQTBench,25,greedy_hdh,252,0,1
ae_indep_qiskit_26.qasm,Circuit,MQTBench,26,greedy_hdh,271,0,1
ae_indep_qiskit_27.qasm,Circuit,MQTBench,27,greedy_hdh,294,0,1
ae_indep_qiskit_28.qasm,Circuit,MQTBench,28,greedy_hdh,315,0,1
ae_indep_qiskit_29.qasm,Circuit,MQTBench,29,greedy_hdh,336,0,1
ae_indep_qiskit_3.qasm,Circuit,MQTBench,3,greedy_hdh,5,0,1
ae_indep_qiskit_30.qasm,Circuit,MQTBench,30,greedy_hdh,358,0,1
